Name,Gender,Year,Altitude,Fate
Dezik,Male,1951,100,Died
Gypsy,Male,1951,100,Survived
Fox,Female,1951,100,Died
Siskin,Male,1951,100,Died
Little Bear,Male,1951,100,Died
Ginger,Male,1951,100,Survived
Courageous,Male,1951,100,Survived
Scamp,Male,1951,100,Survived
Substitute for Missing Bobik,Male,1951,100,Survived
Fox II,Female,1955,100,Died
Ginger II,Male,1954,100,Died
Little Lady,Female,1954,100,Survived
Little Bear II,Male,1954,100,Died
Rita,Female,1955,100,Died
Linda,Female,1956,100,Survived
Bulba,Female,1955,100,Died
Button,Female,1958,451,Died
Little One,Female,1956,100,Survived
Whitey,Female,1956,100,Survived
Dzhoyna,Female,1957,212,Died
Redhead,Female,1957,212,Died
Squirrel,Female,1960,1000,Survived
Fashionable,Female,1957,212,Survived
Barker,Female,1957,1000,Died
Palm,Female,1958,451,Died
Fluffy,Male,1958,451,Died
Biter,Female,1958,212,Survived
Palm II,Female,1960,212,Survived
Little Whitey,Female,1958,451,Survived
Spotted,Female,1958,451,Survived
Zhulba,Female,1958,451,Died
Snowflake,Female,1960,212,Survived
Small Fry,Male,1960,212,Survived
Little Fox,Female,1960,1000,Died
Panther,Female,1960,1000,Died
Little Arrow,Female,1960,1000,Survived
Little Fly,Female,1960,1000,Died
Little Bee,Female,1960,1000,Died
Joke,Female,1960,1000,Survived
Blackie,Female,1961,1000,Survived
Comet,Female,1960,1000,Survived
Little Star,Female,1961,1000,Survived
Little Piece of Coal,Male,1966,1000,Survived
Little Wind,Male,1966,1000,Survived